Name,Father Name,Sex,Date of Birth,Passport No,Nationality,Height (cm),Weight (kg),BP (mmHg),Pulse,Eyes,Chest,Abdomen,Hernia,Varicose Veins,Skin,CNS,Respiratory System,Cardiovascular System,Liver,Spleen,Urine - Albumin,Urine - Sugar,Hemoglobin (g/dl),WBC (10^9/L),RBC (10^12/L),Hepatitis B,Hepatitis C,HIV,VDRL,TPHA,Radiology,Fitness Status
Zain,Iqbal,Female,7/29/1985,PK833803,Pakistani,169.2,86.5,140/90,79.1,Weak,Normal,Abnormal,Minor Hernia,Swollen,Rashes,Normal,Clear,Normal,Normal,Normal,Positive,Positive,16.7,6,,Reactive,Non-Reactive,Positive,Reactive,,CLEAR,FIT
Zain,Ashraf,Female,4/13/1986,PK690012,Pakistani,176.7,61.7,120/80,84.9,Weak,Abnormal,Abnormal,No Hernia,Swollen,Rashes,Abnormal,Blocked,Normal,Normal,Enlarged,Negative,Negative,15.7,5.7,4.1,Non-Reactive,Reactive,Positive,Reactive,Reactive,Abnormal,FIT
Zain,Noman,Female,4/7/1997,PK572606,Pakistani,170.4,66.2,130/85,83.4,Normal,Normal,,No Hernia,Swollen,Rashes,Normal,Blocked,Murmur,Normal,Normal,Negative,Positive,15.5,5.1,5.4,Non-Reactive,Non-Reactive,Positive,Non-Reactive,Reactive,CLEAR,FIT
Khan,Rauf,Female,11/29/1987,PK800486,Pakistani,175,52.3,130/85,85,Weak,Normal,,No Hernia,Normal,Rashes,Normal,Clear,Normal,Enlarged,Enlarged,Negative,Positive,14.9,10.2,4.7,Reactive,Reactive,Negative,Reactive,Non-Reactive,Abnormal,FIT
Khan,Noman,Female,10/31/1994,PK197584,Pakistani,189.6,61.4,,98.8,Weak,Abnormal,Normal,,Normal,Clear,,Blocked,Normal,Normal,Enlarged,Positive,Positive,17.7,8.5,5.8,Non-Reactive,Non-Reactive,Positive,Non-Reactive,Reactive,Abnormal,FIT
Khan,Ashraf,Male,11/26/1980,PK386891,Pakistani,154.3,73.6,120/80,70,Normal,Abnormal,Abnormal,No Hernia,Normal,Clear,Abnormal,Clear,Normal,Enlarged,Enlarged,,Negative,16.9,4.5,4.8,Reactive,Reactive,Negative,Reactive,Non-Reactive,CLEAR,UNFIT
Ahmed,Ashraf,Male,2/14/1984,PK547173,Pakistani,169,,130/85,94.9,Weak,Abnormal,Normal,No Hernia,Swollen,Clear,Abnormal,Clear,Murmur,Normal,Enlarged,Positive,Positive,13.8,,,Non-Reactive,Non-Reactive,Negative,Reactive,Reactive,Abnormal,UNFIT
,Iqbal,Female,1/13/1998,PK239110,Pakistani,172.9,68.9,120/80,89.3,Normal,Normal,Normal,Minor Hernia,Swollen,Rashes,Normal,Blocked,Murmur,Normal,Normal,Positive,Negative,14,5.2,4.6,Reactive,Non-Reactive,Negative,Non-Reactive,Non-Reactive,Abnormal,FIT
Zain,Ashraf,Female,9/16/1988,PK390218,Pakistani,154.1,93.6,120/80,90.1,,Normal,Normal,Minor Hernia,Swollen,Clear,Abnormal,Blocked,Normal,Normal,Normal,Positive,Negative,17.4,7.5,4.5,Reactive,Reactive,Positive,Reactive,Non-Reactive,CLEAR,FIT
Ali,Rauf,Male,1/20/1986,PK144742,Pakistani,152.3,61.2,110/70,76.9,Normal,Normal,Normal,Minor Hernia,Swollen,Rashes,Normal,Blocked,Murmur,,Enlarged,Negative,Positive,16.3,10,4.8,,Reactive,Positive,Reactive,Reactive,Abnormal,UNFIT
Khan,Rauf,Male,9/29/1999,PK245065,Pakistani,185.3,48.1,140/90,79.1,Normal,Normal,Normal,Minor Hernia,Swollen,Clear,Abnormal,Clear,Murmur,Enlarged,,,Negative,15.6,8.8,5.6,Reactive,Reactive,Positive,Reactive,Non-Reactive,Abnormal,FIT
Imran,Rashid,Female,11/28/1994,PK915853,Pakistani,179.4,57.1,,74.3,Weak,Normal,Normal,No Hernia,Swollen,Rashes,Normal,Blocked,Murmur,Normal,Enlarged,Positive,Positive,17.6,4,4.9,Reactive,,Positive,Reactive,Non-Reactive,Abnormal,FIT
Khan,Ashraf,Male,7/27/1993,PK175910,Pakistani,182.7,52.1,120/80,74.7,Weak,Abnormal,Abnormal,Minor Hernia,Normal,Clear,Normal,Blocked,Murmur,Normal,Enlarged,Negative,,13.2,6.3,5.9,Reactive,Non-Reactive,Negative,Non-Reactive,Reactive,CLEAR,UNFIT
Imran,Iqbal,Female,6/8/2001,PK100727,Pakistani,162.2,55.6,130/85,75.1,Weak,Abnormal,Normal,No Hernia,Normal,Rashes,Abnormal,Blocked,Normal,Normal,Normal,Positive,Positive,16.2,7.8,5.2,Non-Reactive,Reactive,Positive,Reactive,Reactive,Abnormal,
Imran,Rauf,Female,4/26/1987,PK212829,Pakistani,184.9,52.8,120/80,91.9,Normal,Normal,Normal,No Hernia,Swollen,Rashes,Abnormal,Blocked,Murmur,Normal,Normal,Positive,Positive,14.6,6.1,5.2,Reactive,Reactive,Positive,Reactive,Non-Reactive,CLEAR,UNFIT
Ahmed,Iqbal,Male,1/22/1987,PK968966,Pakistani,187.9,67.1,140/90,70.1,Weak,Normal,Abnormal,Minor Hernia,Swollen,Rashes,Normal,Clear,Murmur,Normal,Enlarged,Positive,Positive,17.4,8.8,5.6,Non-Reactive,Non-Reactive,Positive,Non-Reactive,Reactive,Abnormal,FIT
Ali,Noman,Female,6/16/1982,PK218904,Pakistani,181.5,89.8,140/90,74.8,Weak,Abnormal,Abnormal,Minor Hernia,Normal,Rashes,Normal,Clear,Normal,Enlarged,Normal,Negative,Negative,13.7,4.1,4.9,Reactive,Reactive,Positive,Non-Reactive,Non-Reactive,CLEAR,UNFIT
Ahmed,Rauf,Female,9/22/1998,PK171257,Pakistani,180.1,56.5,120/80,62.3,Normal,Normal,Abnormal,Minor Hernia,Swollen,Rashes,Abnormal,Clear,Murmur,Enlarged,,Positive,Negative,12.2,8,5.7,Non-Reactive,Non-Reactive,Positive,Reactive,Non-Reactive,Abnormal,FIT
Zain,Iqbal,Female,9/29/1988,PK360182,Pakistani,180,80.6,130/85,82.9,Normal,Abnormal,Abnormal,No Hernia,Normal,Clear,Abnormal,Blocked,Normal,,Normal,Positive,Negative,12.2,5.4,4.4,Reactive,Non-Reactive,Negative,Reactive,Non-Reactive,CLEAR,
Imran,Ashraf,Female,11/11/1991,PK502530,Pakistani,186.5,63.3,120/80,98.6,Weak,Normal,Abnormal,No Hernia,Normal,Rashes,Normal,Blocked,Normal,Normal,Normal,Negative,Negative,13.6,7.3,4.1,Reactive,Non-Reactive,Negative,Reactive,Non-Reactive,CLEAR,UNFIT
Ali,Ashraf,Female,1/5/1982,PK366205,Pakistani,171.4,60.7,120/80,65.2,Normal,Abnormal,Abnormal,Minor Hernia,Swollen,,Normal,Blocked,,Normal,Enlarged,Negative,Positive,16.7,9.3,4.1,Reactive,Reactive,Positive,Reactive,Reactive,CLEAR,FIT
Ali,,Male,4/27/1982,PK704329,Pakistani,165.5,88.6,,62.5,Weak,Abnormal,Normal,No Hernia,Swollen,Rashes,Normal,Clear,Murmur,Enlarged,Enlarged,Positive,Negative,17.3,4.4,4.9,Non-Reactive,Reactive,Positive,Non-Reactive,Non-Reactive,CLEAR,FIT
Ahmed,Iqbal,Female,10/12/1983,PK455944,Pakistani,176.9,,110/70,95.2,Weak,Normal,Normal,Minor Hernia,Normal,Clear,Abnormal,Blocked,Murmur,Enlarged,Enlarged,Negative,Negative,16,10.9,5.6,,Non-Reactive,Negative,,Non-Reactive,CLEAR,FIT
Zain,Rauf,Female,4/25/1982,PK264875,Pakistani,151.6,62,120/80,81.4,Weak,Abnormal,Normal,No Hernia,,Rashes,Normal,,Murmur,Normal,Normal,Positive,Positive,13.1,,5,Non-Reactive,Non-Reactive,Negative,Non-Reactive,Non-Reactive,CLEAR,UNFIT
Ali,Rauf,Male,12/21/1989,PK414491,Pakistani,187.6,66.2,130/85,69.6,Normal,Normal,Normal,No Hernia,Normal,Rashes,Abnormal,Clear,Normal,Enlarged,Enlarged,Positive,Positive,15.7,10.6,4.9,Reactive,Reactive,Positive,Non-Reactive,Reactive,Abnormal,FIT
Imran,Rashid,Male,6/1/2000,PK462566,Pakistani,160.9,70.4,140/90,67.3,Weak,Abnormal,Normal,No Hernia,Swollen,Clear,,Blocked,Normal,Normal,Enlarged,Positive,Positive,15.6,4.4,4.2,Non-Reactive,Non-Reactive,Positive,Reactive,Non-Reactive,CLEAR,FIT
Ali,Noman,Female,,PK376068,Pakistani,150.4,90.5,110/70,84.9,Weak,Abnormal,Normal,No Hernia,Normal,Clear,Normal,Clear,Normal,Enlarged,Normal,Positive,Negative,16.5,5.1,4,Non-Reactive,Reactive,Positive,Reactive,Reactive,CLEAR,FIT
Imran,Rauf,Female,9/26/1990,PK196098,Pakistani,162.2,46.6,110/70,84.7,Normal,Abnormal,Abnormal,Minor Hernia,Normal,Rashes,Abnormal,Clear,Normal,Normal,Normal,Negative,Positive,16.9,7.2,4.3,Non-Reactive,Reactive,Positive,Reactive,Non-Reactive,CLEAR,FIT
Ali,Rauf,Female,10/24/1996,PK582867,Pakistani,164.4,93.8,110/70,98,Normal,Abnormal,Normal,Minor Hernia,Swollen,Clear,,Blocked,Normal,Enlarged,Enlarged,Negative,Negative,12.5,9.1,5.1,Non-Reactive,Reactive,Negative,Reactive,Reactive,CLEAR,UNFIT
Imran,Rashid,Male,12/14/1997,PK911563,Pakistani,153.7,52.2,130/85,79.2,Weak,Abnormal,Abnormal,No Hernia,Swollen,Clear,Normal,Clear,Murmur,Normal,Normal,,Positive,12.4,8.5,4.4,Reactive,Reactive,Positive,Reactive,Reactive,CLEAR,UNFIT
Ali,Noman,Female,12/26/1989,PK324361,Pakistani,178.8,71.9,130/85,63.6,Weak,Normal,Normal,No Hernia,Normal,Rashes,Normal,Blocked,Normal,Normal,Enlarged,Positive,Positive,12.4,,5,Non-Reactive,Reactive,Positive,Reactive,Reactive,CLEAR,FIT
Imran,Rauf,Male,,PK329696,Pakistani,174.9,65.2,140/90,87.5,Weak,Abnormal,Abnormal,Minor Hernia,Swollen,Clear,Normal,Clear,Murmur,Normal,Normal,Positive,Positive,17,4.4,4.2,Non-Reactive,Reactive,,Non-Reactive,Reactive,CLEAR,UNFIT
Imran,Noman,Female,3/12/1980,PK806661,Pakistani,174.9,71.5,140/90,91.2,Weak,Abnormal,Abnormal,Minor Hernia,Normal,Clear,Normal,Clear,Murmur,Enlarged,Enlarged,Positive,Positive,13.7,4.6,4.4,Reactive,Reactive,,Reactive,Non-Reactive,Abnormal,
Zain,Ashraf,Male,7/5/1998,PK576832,Pakistani,157.2,71.5,130/85,87.6,Weak,Abnormal,Normal,Minor Hernia,Swollen,Clear,,Clear,Normal,Enlarged,Enlarged,Positive,Positive,12.8,7.4,4.8,Reactive,Reactive,Positive,Reactive,Non-Reactive,CLEAR,FIT
Khan,Rashid,Male,3/9/2000,PK115402,Pakistani,182,89.2,130/85,87,Normal,Normal,Normal,No Hernia,Normal,Rashes,Normal,Clear,Normal,Enlarged,Enlarged,,Negative,15.8,,5,Non-Reactive,Reactive,Positive,Reactive,Reactive,CLEAR,UNFIT
Imran,Rauf,Male,10/19/2002,PK880853,Pakistani,188,89.7,110/70,66.8,Weak,Normal,Abnormal,No Hernia,Swollen,Rashes,Normal,Blocked,Normal,Normal,Enlarged,Negative,Negative,13,5.9,4.1,Reactive,Reactive,,Reactive,,Abnormal,UNFIT
Ahmed,Ashraf,Female,3/30/1985,PK751552,Pakistani,179.4,91,120/80,87.7,Normal,Abnormal,Normal,Minor Hernia,Swollen,Clear,Normal,Clear,,Enlarged,Normal,Negative,Positive,13.2,9.3,5.7,Reactive,Reactive,Positive,Reactive,Reactive,CLEAR,FIT
Imran,Noman,Male,8/26/1991,PK287702,Pakistani,177.4,68,130/85,60.6,Normal,Normal,Abnormal,Minor Hernia,Normal,Rashes,Abnormal,Clear,Normal,Normal,Enlarged,Negative,Negative,12.9,9.8,5.5,Reactive,Non-Reactive,Negative,Reactive,Reactive,Abnormal,FIT
Khan,Rashid,Male,4/11/1998,PK218651,Pakistani,159.9,79.7,130/85,66.9,Weak,Abnormal,Normal,No Hernia,Swollen,Clear,Normal,Blocked,Murmur,Enlarged,Enlarged,Negative,Positive,17.9,7.4,4.6,Reactive,Reactive,Negative,Reactive,Non-Reactive,CLEAR,UNFIT
Khan,Rauf,Female,1/20/1985,,Pakistani,,85.5,120/80,74.8,Normal,Abnormal,Normal,Minor Hernia,Normal,Clear,Normal,Blocked,Normal,Normal,Normal,Positive,Negative,17.7,6.3,5.1,Non-Reactive,Reactive,Negative,Reactive,Reactive,Abnormal,UNFIT
Imran,Ashraf,Female,10/9/1981,PK323476,Pakistani,153.2,64.8,140/90,71,Normal,Normal,Abnormal,No Hernia,Swollen,Rashes,Normal,Clear,Murmur,Normal,Enlarged,Positive,Positive,,8.6,4.8,Reactive,Reactive,Negative,Non-Reactive,Non-Reactive,Abnormal,UNFIT
Zain,Rashid,Female,3/28/1991,PK884054,Pakistani,168.8,84.3,120/80,82.4,Normal,Normal,Normal,No Hernia,Swollen,Rashes,Normal,Clear,Normal,Enlarged,,Positive,Negative,12.3,9.5,4.9,Reactive,Reactive,Negative,Reactive,,CLEAR,FIT
Zain,Rauf,Male,7/16/1999,PK436971,Pakistani,189.1,92.3,120/80,93.5,Weak,Abnormal,Abnormal,No Hernia,Swollen,Rashes,Abnormal,Clear,Murmur,Enlarged,Normal,Negative,Positive,13.8,8.2,4.7,Non-Reactive,Reactive,Negative,Non-Reactive,Non-Reactive,Abnormal,FIT
Zain,Rauf,Female,7/21/1984,PK528878,Pakistani,,94.1,140/90,62.7,Normal,Normal,Abnormal,Minor Hernia,Normal,Clear,Abnormal,Blocked,Normal,Enlarged,Normal,Negative,Positive,12.7,7,4.6,Reactive,Non-Reactive,Negative,Non-Reactive,Reactive,CLEAR,UNFIT
Ahmed,Noman,Male,1/2/1989,PK191201,Pakistani,180.3,61.3,120/80,74.3,Weak,Normal,Abnormal,No Hernia,Swollen,Rashes,Normal,Clear,Murmur,Normal,Normal,Positive,Negative,12.3,4.4,5.4,Non-Reactive,Non-Reactive,Negative,Non-Reactive,Reactive,CLEAR,UNFIT
Ali,Iqbal,Male,4/30/1989,PK932125,Pakistani,173.4,61.6,140/90,95.6,Normal,Normal,Normal,No Hernia,Normal,Clear,Normal,Blocked,Normal,,Enlarged,Positive,Negative,17.5,6.7,4.1,Reactive,Non-Reactive,Negative,Non-Reactive,Non-Reactive,Abnormal,FIT
Ali,Iqbal,Female,10/11/1999,PK178594,Pakistani,168,,,90.9,Normal,Abnormal,Normal,Minor Hernia,Normal,Rashes,Abnormal,Blocked,Normal,Normal,Enlarged,Positive,Positive,16.5,8,4.6,Non-Reactive,Non-Reactive,,Non-Reactive,Non-Reactive,CLEAR,FIT
Ahmed,Noman,Female,2/20/1991,PK530974,Pakistani,187.9,81.9,120/80,75.5,Normal,Abnormal,Normal,No Hernia,Normal,Clear,Abnormal,Clear,Normal,Enlarged,Normal,Positive,Negative,12.7,10,5.9,Reactive,Reactive,Negative,Reactive,Reactive,Abnormal,UNFIT
Imran,Noman,Female,9/9/1997,PK206553,Pakistani,159.5,,,98.2,Normal,Normal,Normal,No Hernia,Normal,Rashes,Normal,Blocked,Normal,Enlarged,Normal,Positive,Negative,16.3,10.2,5.8,Non-Reactive,Reactive,Positive,Reactive,Reactive,CLEAR,FIT
Khan,Iqbal,Female,1/19/1990,PK556786,Pakistani,161.5,51.4,140/90,66.6,Weak,Normal,Normal,Minor Hernia,Swollen,Clear,Abnormal,Clear,Normal,Normal,Normal,Negative,,13.3,4.6,5.7,Non-Reactive,Reactive,Negative,Non-Reactive,Reactive,Abnormal,
Ali,Ashraf,Female,10/30/1985,PK971486,Pakistani,166.8,92.8,120/80,78.7,,Abnormal,Normal,No Hernia,Normal,Rashes,Normal,,Normal,Normal,Normal,Negative,Negative,14.3,4.2,5.9,Reactive,Reactive,Negative,Reactive,Reactive,Abnormal,FIT
Ali,Rashid,Female,2/22/1995,PK828431,Pakistani,164.3,70.4,110/70,97.6,Normal,Normal,Abnormal,No Hernia,Swollen,Clear,Abnormal,Blocked,Murmur,Enlarged,Normal,Positive,,16.5,9,5.4,Non-Reactive,Non-Reactive,Negative,Non-Reactive,Reactive,CLEAR,UNFIT
Zain,Rashid,Male,8/18/1998,PK615571,Pakistani,183.1,54.3,,82.9,Normal,Normal,Normal,No Hernia,Swollen,Rashes,Normal,Blocked,Murmur,Normal,Enlarged,Positive,Negative,15.1,7.9,4.8,Non-Reactive,Non-Reactive,Negative,Non-Reactive,Reactive,,UNFIT
Ahmed,Ashraf,Female,2/23/1981,PK823218,Pakistani,178,72.5,110/70,79.5,Normal,Normal,Abnormal,Minor Hernia,Normal,Clear,Abnormal,Clear,Normal,Normal,Enlarged,Negative,Positive,17.6,8.5,4.8,Non-Reactive,Non-Reactive,Positive,Non-Reactive,Non-Reactive,Abnormal,FIT
Khan,Iqbal,Male,12/17/1994,PK557335,Pakistani,153.3,57.8,140/90,95.4,Normal,Abnormal,Abnormal,Minor Hernia,Normal,Clear,Normal,Blocked,Normal,Normal,Enlarged,Positive,Negative,18,6.2,5.8,Reactive,Non-Reactive,Positive,Non-Reactive,Non-Reactive,Abnormal,UNFIT
Ali,Rauf,Female,12/18/1985,PK465991,Pakistani,168.7,67,140/90,98.7,Normal,Abnormal,Abnormal,No Hernia,Normal,Clear,Normal,Clear,Murmur,Normal,Normal,Negative,Negative,14.8,6.5,5.4,Non-Reactive,Reactive,Positive,Non-Reactive,,Abnormal,FIT
Ali,Iqbal,Male,7/11/1994,PK146344,Pakistani,186.5,66.1,120/80,79.7,Weak,Abnormal,Normal,Minor Hernia,Normal,Clear,Normal,Blocked,Murmur,,Normal,Positive,Negative,12.5,4.7,4,Non-Reactive,Non-Reactive,Negative,Reactive,Non-Reactive,CLEAR,FIT
Zain,Ashraf,Female,3/17/1993,PK933810,Pakistani,177.2,55.2,110/70,95.6,Weak,Abnormal,Abnormal,No Hernia,Swollen,Rashes,Abnormal,Clear,Murmur,Enlarged,Enlarged,Positive,Negative,15.2,8.1,5.9,Reactive,Reactive,Positive,Reactive,Non-Reactive,CLEAR,FIT
Zain,Ashraf,Male,4/24/1986,PK975156,Pakistani,164.5,57.7,130/85,60.7,,,Normal,No Hernia,Normal,Clear,Normal,Blocked,Murmur,Normal,Enlarged,Negative,Positive,15.9,,5.4,Reactive,Non-Reactive,Positive,Non-Reactive,Reactive,CLEAR,UNFIT
Zain,Rashid,Female,5/23/1991,,Pakistani,163,73.2,120/80,76.5,Weak,Abnormal,Abnormal,No Hernia,Swollen,Rashes,Abnormal,Clear,Normal,Enlarged,Normal,Negative,Positive,13.6,,4.9,Reactive,,Positive,Reactive,Reactive,Abnormal,FIT
Ali,Rauf,Male,3/14/1992,PK883366,Pakistani,158.4,77.1,140/90,66.3,Weak,Normal,Abnormal,No Hernia,Swollen,Clear,Abnormal,Blocked,Murmur,Enlarged,Enlarged,Negative,,12.1,5.2,5.2,Reactive,Non-Reactive,Positive,Non-Reactive,Non-Reactive,CLEAR,FIT
Khan,Rashid,Female,10/21/1991,PK771357,Pakistani,163.5,49.5,110/70,89.9,Normal,Normal,Abnormal,,Swollen,,Normal,Clear,Murmur,Enlarged,Enlarged,Negative,Positive,17.8,6.5,4.5,Non-Reactive,Reactive,Positive,Non-Reactive,Reactive,CLEAR,FIT
Zain,,Male,11/12/1981,PK864582,Pakistani,187.4,87,130/85,73.7,Weak,Normal,Normal,No Hernia,Swollen,Rashes,,Clear,,Enlarged,Enlarged,Positive,Negative,13.1,8.7,4.6,Reactive,Reactive,Positive,Non-Reactive,Non-Reactive,Abnormal,
Ali,Iqbal,Female,1/18/1989,PK747933,Pakistani,159.4,70.9,130/85,61.8,Normal,Abnormal,Abnormal,Minor Hernia,Swollen,Clear,Abnormal,,Normal,Enlarged,Enlarged,Negative,Positive,13,6.1,4.7,Reactive,Reactive,Positive,Non-Reactive,Non-Reactive,CLEAR,UNFIT
Ali,Rauf,Male,5/11/1989,PK588360,Pakistani,170.3,53.4,130/85,92.3,Weak,Normal,Normal,Minor Hernia,Swollen,Clear,Normal,Clear,Normal,,Enlarged,Negative,Negative,16.7,9.4,4.9,Non-Reactive,Reactive,Positive,Reactive,,CLEAR,FIT
Ali,Rashid,Female,10/23/1986,PK239268,Pakistani,,,140/90,93.9,Weak,,,No Hernia,Normal,Clear,Normal,Blocked,Murmur,Enlarged,Normal,Positive,Positive,14.2,9.3,4.8,Non-Reactive,Reactive,Negative,Reactive,Non-Reactive,Abnormal,FIT
Zain,Rauf,Female,2/20/1997,PK369549,Pakistani,151.1,63.8,110/70,64.6,Normal,Abnormal,Abnormal,Minor Hernia,Normal,Rashes,Normal,Blocked,Murmur,Enlarged,Enlarged,Positive,Negative,13.8,,5.2,Reactive,Reactive,Positive,Reactive,Non-Reactive,Abnormal,UNFIT
Ali,Rauf,Male,9/9/1995,PK335877,Pakistani,157.8,87.2,120/80,75.6,Weak,Normal,Abnormal,Minor Hernia,Swollen,Rashes,Abnormal,Clear,Normal,Normal,Enlarged,Positive,Positive,15.3,5.9,5.7,,Reactive,Negative,Non-Reactive,Non-Reactive,Abnormal,UNFIT
Imran,Rauf,Male,5/7/1991,PK787579,Pakistani,157.2,63,110/70,74.2,Weak,Normal,Normal,No Hernia,Swollen,Clear,Abnormal,Blocked,Murmur,Enlarged,Normal,Positive,Positive,14.7,5.1,5.3,Reactive,Reactive,Negative,Non-Reactive,Non-Reactive,Abnormal,FIT
Khan,Noman,,9/20/1997,PK533597,Pakistani,160.7,53.7,130/85,95,Normal,,Normal,Minor Hernia,Normal,Rashes,Abnormal,Clear,Murmur,Normal,Enlarged,Positive,Positive,12.9,,,Non-Reactive,Non-Reactive,Positive,Reactive,Non-Reactive,CLEAR,FIT
Ali,Iqbal,Male,12/16/1995,PK508519,Pakistani,172.1,55.8,,96.9,Weak,Abnormal,Normal,Minor Hernia,Normal,Clear,Normal,Blocked,Murmur,Enlarged,Enlarged,Positive,Negative,15.6,10.3,5.1,Reactive,Reactive,Positive,Non-Reactive,Reactive,CLEAR,FIT
Ali,Noman,Male,1/25/1992,PK923589,Pakistani,184.9,69.5,120/80,90.6,Normal,Normal,Normal,Minor Hernia,Swollen,Rashes,Abnormal,Blocked,Normal,,Enlarged,Positive,Negative,16.4,9,,Reactive,Non-Reactive,Negative,Reactive,Reactive,CLEAR,FIT
Khan,Ashraf,Male,3/13/1990,PK132635,Pakistani,159.9,70.8,140/90,74.7,Normal,Normal,Abnormal,Minor Hernia,Normal,Clear,Abnormal,Clear,Normal,,Enlarged,Positive,Negative,12.4,10,4,Non-Reactive,Reactive,Positive,Non-Reactive,,Abnormal,FIT
Ali,Noman,,9/6/1998,PK424324,Pakistani,185.5,49.7,130/85,78.2,Normal,Normal,Normal,No Hernia,Swollen,Clear,Abnormal,Blocked,Normal,Enlarged,Normal,,Negative,18,7.4,5.5,Non-Reactive,Reactive,Negative,Non-Reactive,Non-Reactive,Abnormal,UNFIT
Zain,Iqbal,Female,12/23/1986,PK640451,Pakistani,184.9,92.6,130/85,79.7,Normal,Normal,Abnormal,Minor Hernia,Normal,Rashes,Normal,Clear,Murmur,Enlarged,Enlarged,Positive,Negative,17.1,10.2,5.9,Non-Reactive,Non-Reactive,Positive,Reactive,Reactive,Abnormal,FIT
Ahmed,Rashid,,4/24/1999,PK911533,Pakistani,177.9,64.5,110/70,66.6,Weak,,Normal,Minor Hernia,Normal,Clear,Abnormal,Clear,Normal,Enlarged,Enlarged,Negative,Negative,13.4,7.9,5.9,Reactive,Reactive,Negative,Reactive,Non-Reactive,CLEAR,UNFIT
Ali,Iqbal,Male,5/12/1985,,Pakistani,162.5,75.4,110/70,88.7,Normal,Normal,Abnormal,No Hernia,Normal,Clear,Normal,Clear,Murmur,Enlarged,Enlarged,Negative,Negative,15.1,5.6,4.3,Non-Reactive,Reactive,Negative,Reactive,Reactive,CLEAR,UNFIT
Ahmed,Iqbal,Male,5/17/1991,PK437497,Pakistani,175.9,46.9,130/85,63.2,Normal,,Abnormal,No Hernia,Normal,Clear,Normal,Clear,Murmur,Enlarged,Normal,Positive,,,4.5,5.9,Reactive,Non-Reactive,Positive,Reactive,Reactive,Abnormal,FIT
